property,uri,kind,storage,availability,domain,range,label,source_tables,source_columns,derivation,derivation_note,domain_caveat,comment
issuedAmount,http://mafest.ai/product#issuedAmount,DP,rdb,raw,Bond,http://www.w3.org/2001/XMLSchema#decimal,issued balance|발행잔액,PRBD01N001,ISU_BAL_AMT,,,,발행 잔존 원금(원). 규모 필터축. 0 값이 다수 존재하며 상환 완료 잔재일 가능성이 있어 0은 별도 취급한다.
issuedBy,http://mafest.ai/product#issuedBy,OP,graph,loaded,Bond,Issuer,issued by|발행사,PRBD01N001,PD_PBCM,,,,채권 → 발행기관. **domain이 fp:Bond로만 한정된다.** 'VOO(ETF)가 직접 발행한 회사채' 같은 질의는 주어가 fp:ETF이고 fp:ETF는 fp:Bond와 owl:disjointWith이므로 도메인 위반이 확정되어 ABSTAIN(엔티티 유형이 관계의 도메인·레인지와 불일치)으로 판정한다. ETF의 발행 주체를 묻는 질의는 fp:managedBy로 유도한다.
issuedByCompany,http://mafest.ai/product#issuedByCompany,OP,graph,loaded,Security,Company,issued by company|증권 발행기업,,,,,,"편입증권 → 발행 기업. ETF→편입증권→기업→자회사→산업/테마 경로의 두 번째 간선이다. DART corpCode 마스터로 편입증권 1,306종이 발행 기업에 연결되어 있다(우선주는 보통주 발행사로 귀속, holding_code_map.csv)."
kofiaClassCode,http://mafest.ai/product#kofiaClassCode,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#string,KOFIA fund class code|금투협 펀드분류코드,PRFD01N001,kofia_fd_ccd,,,,"금융투자협회 20자리 분류코드. **분류 필터축으로 쓰지 않는다** — 자리별 의미가 역추정 가설 단계이고 '0'×20이 22,131행(23.1%)이며 19자리 이상 행도 존재한다. KOFIA 코드 부여기준 문서 확보 전에는 식별자로만 보존한다."
ksdCode,http://mafest.ai/product#ksdCode,DP,graph,loaded,PublicFund,http://www.w3.org/2001/XMLSchema#string,KSD item code|예탁원 종목번호,PRFD01N001,ksd_itm_no,,,,예탁결제원 코드. **국내ETF pd_itm_no와 값이 일치하는 47종이 fp:sameVehicleAs 판정의 직접 근거**다. 펀드 단위 중복 46건이 있다.
leverageFactor,http://mafest.ai/product#leverageFactor,DP,rdb,raw,n262162eb5eeb41f2ba948dd5d654e824b16,http://www.w3.org/2001/XMLSchema#decimal,leverage factor|레버리지 배수,PREF01N001,cu_lev_fector,,,해외ETF는 이 컬럼이 전량 결측이라 국내ETF에서만 정형 필터가 가능하다.,지수 대비 배수. **음수는 인버스**를 뜻한다(-2 = 인버스 2배). 해외ETF는 이 컬럼이 전량 결측이라 국내ETF에서만 정형 필터가 가능하다.
lipperId,http://mafest.ai/product#lipperId,DP,rdb,raw,n6d8cda17fbb740fcbe8ead3b4f379c40b7,http://www.w3.org/2001/XMLSchema#string,Lipper fund ID|Lipper 펀드 ID,PREF02N001,pd_lipper_id,,,,LSEG Lipper 식별자. 외부 펀드 DB 조인키이며 ISIN 중복 50종과 동일 종목군에서 50건 중복한다. 유일키로 쓰지 않는다.
listingDate,http://mafest.ai/product#listingDate,DP,rdb,raw,n327921788c8b4f9196f55c429df2d4b2b35,http://www.w3.org/2001/XMLSchema#date,listing date|상장일,PREF01N001|PREF02N001,pd_lstg_dt,,,,거래 가능 개시일. '최근 상장 ETF' 질의축이다.
managedBy,http://mafest.ai/product#managedBy,OP,rdb,raw,n327921788c8b4f9196f55c429df2d4b2b4,AssetManager,managed by|운용사,PREF01N001|PREF02N001|PRFD01N001,cu_fund_mgmt_co|or_co_xtn_itt_cd,,,,ETF·ETN·펀드 → 운용사(ETN은 발행 증권사). 채권은 운용사 개념이 없으므로 domain에서 제외한다.
managerItemCode,http://mafest.ai/product#managerItemCode,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#string,manager item code|운용사 종목번호,PRFD01N001,mtco_itm_no,,,,"**클래스 → 모펀드 그룹핑의 정본 키**(11,139종 → 4,661그룹). 선행 따옴표 65행과 길이 불균일(1~10자, 표준 7자)이 있어 strip('""') + zfill(7) 정규화가 선행되어야 하며 '0000000' 13건은 sentinel이다."
maturityBucket,http://mafest.ai/product#maturityBucket,DP,rdb,derived-not-deployed,Bond,http://www.w3.org/2001/XMLSchema#string,maturity bucket|잔존만기 구간,derived:bond_kr_enriched,derived:bond_kr_enriched.maturity_bucket,pure,build_bond_enrichment.py ← data/csv 원본만,,만기경과 / 1년미만 / 1-3년 / 3-5년 / 5-10년 / 10년이상 / 미상(파생). fp:hasMaturityClass 개체 매핑의 소재다.
maturityDate,http://mafest.ai/product#maturityDate,DP,rdb,raw,Bond,http://www.w3.org/2001/XMLSchema#date,maturity date|만기일,PRBD01N001,MAT_DT,,,,잔존만기 계산의 기준. **sentinel '0' 316건과 '99991231' 4건(영구채)을 제외**하고 파싱한다. 만기 경과 종목이 38.2% 섞여 있어 '지금 살 수 있는' 질의에는 만기 필터가 선행되어야 한다.
metricName,http://mafest.ai/product#metricName,DP,rdb,derived-not-deployed,MetricSnapshot,http://www.w3.org/2001/XMLSchema#string,metric name|수치 항목명,derived:metric_snapshot,derived:metric_snapshot.metric_name,planned,생산 스크립트 없음,,"스냅샷이 담는 수치의 이름(nav, aum, return_1y 등)."
metricUnit,http://mafest.ai/product#metricUnit,DP,rdb,derived-not-deployed,MetricSnapshot,http://www.w3.org/2001/XMLSchema#string,metric unit|수치 단위,derived:metric_snapshot,derived:metric_snapshot.metric_unit,planned,생산 스크립트 없음,,KRW·USD·percent 등. 도메인 간 순자산 비교 시 단위 변환의 근거다.
metricValue,http://mafest.ai/product#metricValue,DP,rdb,derived-not-deployed,MetricSnapshot,http://www.w3.org/2001/XMLSchema#decimal,metric value|수치 값,derived:metric_snapshot,derived:metric_snapshot.metric_value,planned,생산 스크립트 없음,,스냅샷 수치의 값. 단위는 fp:metricUnit으로 함께 제시한다.
navBaseDate,http://mafest.ai/product#navBaseDate,DP,rdb,raw,ETF,http://www.w3.org/2001/XMLSchema#date,NAV base date|NAV 기준일,PREF02N001,du_nav_base_dt,,,,NAV 산출 기준일(전 행 2026-06-14). **종가 기준일과 항상 다르다**(du_base_dt_match_yn 전 행 N). 가격과 NAV를 함께 제시하는 답변은 두 기준일을 각각 표기해야 한다.
netAssets,http://mafest.ai/product#netAssets,DP,rdb,raw,Product,http://www.w3.org/2001/XMLSchema#decimal,net assets|순자산총액,PREF01N001|PREF02N001|PRFD01N001,du_last_aum|fd_nast_suma|pd_net_tamt,,,,규모 질의의 표준축. 국내ETF는 pd_net_tamt를 쓴다(du_last_aum은 결측 16.2%로 열등). 해외ETF는 du_last_aum이 유일축(USD). 공모펀드 fd_nast_suma는 **클래스마다 모펀드 값이 반복되므로 itm_no dedup 없이 합산하면 8.54배 과대계상**된다. 통화가 도메인마다 다르므로 합산 전 fp:hasCurrency 확인 필요.
onSale,http://mafest.ai/product#onSale,DP,rdb,raw,Product,http://www.w3.org/2001/XMLSchema#boolean,on sale|판매 가능 여부,PREF01N001,pd_sale_yn,,,해외ETF는 전량 1이라 필터로 기능하지 못한다.,당사 판매 가능 여부. 국내ETF pd_sale_yn은 1/0 표기(Y/N 아님). **해외ETF는 전량 1이라 필터로 기능하지 못한다**. 채권은 판매 8컬럼이 완전 이분법이라 fp:isSellable 파생값을 쓴다.
organizationName,http://mafest.ai/product#organizationName,DP,graph,loaded,Organization,http://www.w3.org/2001/XMLSchema#string,organization name|기관명,PRBD01N001|PREF01N001|PREF02N001,PD_PBCM|cu_fund_mgmt_co,,,,"기관 정규 명칭. 원본 문자열은 법인격 표기가 흔들리므로(한국투자/한국투자증권(주), BlackRock Fund Advisors/LP) 정규화 후 값을 넣고 원표기는 skos:altLabel로 남긴다."
overseasScope,http://mafest.ai/product#overseasScope,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#string,overseas scope|해외투자 구분,PRFD01N001,ovrs_fd_desc,,,,"투자 대상 소재(해외 51,628 / 국내 33,107 / 국내외혼합 10,818). fp:hasInvestmentRegion과 상호보완적으로 쓴다."
ownershipPct,http://mafest.ai/product#ownershipPct,DP,graph,loaded,SubsidiaryRelation,http://www.w3.org/2001/XMLSchema#decimal,ownership percentage|지분율,derived:company_subsidiary,derived:company_subsidiary.ownership_pct,external,build_company_relations.py ← DART 지배구조,,"기말 지분율(%). 원천 결측 2,378행은 트리플 자체를 생성하지 않는다(0으로 채우면 '지분 없음'이라는 거짓 신호가 된다). 지분율만으로 지배 여부를 단정하지 않으며 답변에는 fp:asOf 공시 기준일을 함께 제시한다."
pensionRiskCategory,http://mafest.ai/product#pensionRiskCategory,DP,rdb,raw,n262162eb5eeb41f2ba948dd5d654e824b28,http://www.w3.org/2001/XMLSchema#string,pension risk category|연금 위험자산 구분,PREF01N001,pd_pen_risk_nm,,,,연금계좌 편입 시 위험자산 한도(70%) 판정 구분(위험자산 788 / 안전자산 214). **'N' 732건은 구분값이 아니라 '연금거래 불가'**이며 fp:pensionTradable=false와 정확히 대응하므로 분류값으로 해석하면 안 된다.
pensionTradable,http://mafest.ai/product#pensionTradable,DP,rdb,raw,n262162eb5eeb41f2ba948dd5d654e824b25,http://www.w3.org/2001/XMLSchema#boolean,pension tradable|연금계좌 거래 가능,PREF01N001,pd_pen_tr_yn,,,,"연금저축·IRP 계좌 매매 가능 여부(Y 1,002 / N 732). '연금저축으로 살 수 있는' 질의의 직접 축이다."
productCode,http://mafest.ai/product#productCode,DP,graph,loaded,Product,http://www.w3.org/2001/XMLSchema#string,product code|상품번호,PRBD01N001|PREF01N001|PREF02N001|PRFD01N001,PD_NO|itm_no|pd_itm_no,,,,"도메인별 정본 식별자. 채권 PD_NO(ISIN형 12자리, 중복 0), 국내ETF pd_itm_no(중복 0), 해외ETF pd_itm_no(로이터 RIC, 중복 0), 공모펀드 itm_no. 상품 URI의 소재다."
productGroup,http://mafest.ai/product#productGroup,DP,rdb,raw,n262162eb5eeb41f2ba948dd5d654e824b13,http://www.w3.org/2001/XMLSchema#string,product group|상품군 종류,PREF01N001|PREF02N001,pd_grp_no,,,,ETF / ETN 판별의 **유일 신뢰축**. 이 값으로 fp:ETF·fp:ETN 클래스를 확정한 뒤 모든 집계를 수행한다.
productName,http://mafest.ai/product#productName,DP,graph,loaded,Product,http://www.w3.org/2001/XMLSchema#string,product name|상품명,PRBD01N001|PREF01N001|PREF02N001|PRFD01N001,PD_NM|itm_nm|pd_nm,,,,"정식 명칭. 자연어 질의가 상품을 지목하는 주 통로이므로 **완전일치를 우선**하고 부분일치 유사명으로 대체하지 않는다('KODEX 200' 부분일치 14건, 'KODEX AI로봇' 유사명 18건이 오탐 원인)."
productShortName,http://mafest.ai/product#productShortName,DP,graph,loaded,Product,http://www.w3.org/2001/XMLSchema#string,product short name|상품약어명,PREF01N001|PREF02N001|PRFD01N001,itm_abrv_nm|pd_abrv_nm,,,,"축약 명칭. 국내ETF는 선두 토큰이 브랜드(KODEX/TIGER/RISE…), 해외ETF는 미국 티커, 펀드는 클래스 접미를 포함한다."
ratingAgencyCount,http://mafest.ai/product#ratingAgencyCount,DP,rdb,derived-not-deployed,Bond,http://www.w3.org/2001/XMLSchema#integer,rating agency count|평가사 등급 개수,derived:bond_kr_enriched,derived:bond_kr_enriched.evco_grd_count,pure,build_bond_enrichment.py ← data/csv 원본만,,PD_EVCO_CRD_GRD에 담긴 등급 개수(파생). 1개 이하면 일치 판정이 불가능하다.
ratingAgreement,http://mafest.ai/product#ratingAgreement,DP,rdb,derived-not-deployed,Bond,http://www.w3.org/2001/XMLSchema#string,rating agreement|평가사 등급 일치 여부,derived:bond_kr_enriched,derived:bond_kr_enriched.evco_grd_agree,pure,build_bond_enrichment.py ← data/csv 원본만,,"복수 평가사 등급이 모두 같으면 Y, 다르면 N, 판정 불가면 공란(파생). 등급 불일치 286건은 답변 시 함께 표기해야 한다."
ratingRank,http://mafest.ai/product#ratingRank,DP,rdb,derived-not-deployed,CreditRating,http://www.w3.org/2001/XMLSchema#integer,credit rating rank|신용등급 서열,derived:bond_kr_enriched,derived:bond_kr_enriched.crd_grd_rank,pure,build_bond_enrichment.py ← data/csv 원본만,,1=AAA(최상) … 19=C(최하). 'AA- 이상'은 fp:ratingRank <= 4로 판정한다. data/enriched/bond_kr_enriched.csv의 crd_grd_rank와 동일 체계이므로 RDB 선필터와 온톨로지 판정 결과가 일치한다.
ratingStatus,http://mafest.ai/product#ratingStatus,OP,graph,loaded,n327921788c8b4f9196f55c429df2d4b2b1,RatingStatus,rating status|신용등급 상태,PRBD01N001,CRD_GRD|STD_PD_MCLS_NM,,,,"등급이 없을 때 그 이유를 구분한다. **판정 규칙: STD_PD_MCLS_NM이 '국공채' 또는 '개인투자용국채'이면서 CRD_GRD가 결측이면 fp:UnratedByDesign(미평가가 정상), '회사채'·'특수채'이면서 결측이면 fp:RatingUnknown(데이터 없음), 등급이 있으면 fp:Rated.** 실측 근거: 국공채 2,137건·개인투자용국채 49건은 결측률 100%, 회사채 14,241건(45.3%)·특수채 1,214건(13.9%)이 결측. 판매 가능 채권 254건 중 등급 결측 204건은 **전부 국공채**이고 판매 가능한 회사채 42건·특수채 8건은 결측 0건이다. 답변 규칙: 'AA- 이상' 등 등급 조건 질의에서 fp:UnratedByDesign 종목은 등급 필터에서 제외하되 결과에 '미평가(국채)'로 표기하고, fp:RatingUnknown 종목만 '등급 정보 확인 불가'로 답한다. 이 상태값은 유효한 값이므로 존재하지 않는 등급 문자열(AAAA)에 대한 ABSTAIN_INVALID_TAXONOMY 판정과 혼동하지 않는다."
relatedToTheme,http://mafest.ai/product#relatedToTheme,OP,graph,loaded,n327921788c8b4f9196f55c429df2d4b2b15,Theme,related to theme|테마 연관,derived:etf_theme,theme,pure,build_etf_enrichment.py:40 ← data/csv 원본만,,"상품·기업 → 테마. 원천은 data/relations/etf_theme.csv(국내ETF 1,099종 × 176테마). **as_of가 공란이다** — LSEG 수집 시점이 확인되지 않아 추정 날짜를 채워 넣지 않았다(거짓 기준일 방지). 따라서 '특정 기간에 발생한 테마 연결' 질의는 이 관계만으로 답할 수 없다. 상품명에 테마어가 있다는 사실만으로 관계를 확정하지 않는다."
remainingDays,http://mafest.ai/product#remainingDays,DP,rdb,derived-not-deployed,Bond,http://www.w3.org/2001/XMLSchema#integer,remaining days|잔존일수,derived:bond_kr_enriched,REMAINING_DAYS|derived:bond_kr_enriched.remaining_days,pure,build_bond_enrichment.py ← data/csv 원본만,,"기준일 대비 만기까지 일수(파생). '잔존 3년 이내' 질의축이며 3년 = 1,095일로 환산한다. **음수는 만기 경과를 뜻하므로 필터에서 배제**한다. 원본 REMAINING_DAYS는 25.1% 결측이라 MAT_DT에서 2026-07-11 기준으로 재계산한 파생값을 정본으로 쓴다."
representativeKsdCode,http://mafest.ai/product#representativeKsdCode,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#string,representative KSD code|대표 예탁원 종목번호,PRFD01N001,rptt_ksd_itm_no,,,,"대표(모)펀드 예탁원 코드. **sentinel 2종('KR0000000000' 1,525행, '000000000000' 976행, 합 2.6%)을 제외**해야 한다. 그룹핑 신뢰도는 fp:managerItemCode가 더 높다."
return18M,http://mafest.ai/product#return18M,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#decimal,18-month return|18개월 수익률,PRFD01N001,fd_mm18_ern_r,,,,최근 18개월 수익률(%). ETF에는 없는 구간이라 domain을 펀드로 한정한다.
return1M,http://mafest.ai/product#return1M,DP,rdb,raw,Product,http://www.w3.org/2001/XMLSchema#decimal,1-month return|1개월 수익률,PREF01N001|PRFD01N001,du_er_1m|fd_mm1_ern_r,,,,최근 1개월 수익률(%). 국내ETF du_er_1m의 -100.00은 신규상장 잔재 이상치이므로 순위 질의 시 하한 필터가 필요하다.
return1W,http://mafest.ai/product#return1W,DP,rdb,raw,Product,http://www.w3.org/2001/XMLSchema#decimal,1-week return|1주 수익률,PRFD01N001,fd_wk1_ern_r,,,,최근 1주 수익률(%). 공모펀드에만 존재한다.
return1Y,http://mafest.ai/product#return1Y,DP,rdb,raw,Product,http://www.w3.org/2001/XMLSchema#decimal,1-year return|1년 수익률,PREF01N001|PRFD01N001,du_er_1y|fd_yr1_ern_r,,,해외ETF는 du_er_1d가 전량 0으로 미계산이라 수익률 축 자체가 없다 — 해외ETF 성과 질의는 답변 불가다.,최근 1년 수익률(%). 성과 질의 최빈축. **해외ETF는 du_er_1d가 전량 0으로 미계산이라 수익률 축 자체가 없다** — 해외ETF 성과 질의는 답변 불가다.
return2Y,http://mafest.ai/product#return2Y,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#decimal,2-year return|2년 수익률,PRFD01N001,fd_yr2_ern_r,,,,최근 2년 수익률(%). 공모펀드 전용 구간.
return3M,http://mafest.ai/product#return3M,DP,rdb,raw,Product,http://www.w3.org/2001/XMLSchema#decimal,3-month return|3개월 수익률,PREF01N001|PRFD01N001,du_er_3m|fd_mm3_ern_r,,,,최근 3개월 수익률(%). -100.00 이상치 필터 필요.
return3Y,http://mafest.ai/product#return3Y,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#decimal,3-year return|3년 수익률,PRFD01N001,fd_yr3_ern_r,,,,최근 3년 수익률(%). 공모펀드 전용 구간.
return5Y,http://mafest.ai/product#return5Y,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#decimal,5-year return|5년 수익률,PRFD01N001,fd_yr5_ern_r,,,,최근 5년 수익률(%). 결측 46.8%는 설정 5년 미만 펀드다.
return6M,http://mafest.ai/product#return6M,DP,rdb,raw,Product,http://www.w3.org/2001/XMLSchema#decimal,6-month return|6개월 수익률,PREF01N001|PRFD01N001,du_er_6m|fd_mm6_ern_r,,,,최근 6개월 수익률(%). -100.00 이상치 필터 필요.
returnYTD,http://mafest.ai/product#returnYTD,DP,rdb,raw,ETF,http://www.w3.org/2001/XMLSchema#decimal,year-to-date return|연초이후 수익률,PREF01N001,du_er_ytd,,,,연초 이후 수익률(%). 국내ETF에만 존재한다.
riskGradeLabel,http://mafest.ai/product#riskGradeLabel,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#string,risk grade label|위험등급명(제로인),PRFD01N001,zrin_fd_ivst_risk_grd_nm,,,,"제로인 위험등급명. **공백 표기가 흔들린다**('높은 위험' 29,088 vs '높은위험' 163). 공백 제거 정규화 후 코드(1~6)를 정본으로 삼고, 서열 비교는 fp:hasRiskGrade 개체의 fp:riskGradeLevel로 한다."
riskGradeLevel,http://mafest.ai/product#riskGradeLevel,DP,rdb,raw,RiskGrade,http://www.w3.org/2001/XMLSchema#integer,risk grade level|위험등급 수준,PRBD01N001|PREF01N001|PRFD01N001,PD_RISK_GCD|pd_risk_cd|zrin_fd_ivst_risk_gcd,,,,1=최고위험 … 6=최저위험. 채권·국내ETF·공모펀드 세 도메인의 서열 방향이 모두 같다.
saleStatus,http://mafest.ai/product#saleStatus,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#string,sale status|판매 상태,PRFD01N001,sale_yn,,,,"판매중 / 판매완료(펀드 단위 8,445 / 2,693). 판매 상태의 정본 축이다. **수익률이 전 구간 결측인 3,536종(31.7%)은 대부분 판매완료 잔존 레코드**이므로 성과 랭킹 질의에서 자동 배제된다."
sameVehicleAs,http://mafest.ai/product#sameVehicleAs,OP,graph,loaded,Product,Product,same vehicle as|동일 상품,PREF01N001|PRFD01N001,ksd_itm_no|pd_itm_no,,,,표기·데이터셋이 달라도 실체가 같은 상품을 잇는 대칭 관계. 실측 근거: 공모펀드 ksd_itm_no와 국내ETF pd_itm_no가 일치하는 **47종**(예: 펀드 KR5114601001 '삼성KODEX200증권상장지수투자신탁[주식]' ↔ ETF KR7069500007 'KODEX 200'). 중복 노출·중복 계상 방지의 근거다. owl:sameAs를 쓰지 않는 이유: fp:ETF와 fp:PublicFund는 owl:disjointWith이므로 동일 개체로 병합하면 모순이 된다. 두 레코드는 별개 노드로 두고 이 관계로만 잇는다.
securityCode,http://mafest.ai/product#securityCode,DP,graph,loaded,Security,http://www.w3.org/2001/XMLSchema#string,security code|증권 종목코드,derived:etf_holding,derived:etf_holding.holding_code_raw,external,build_etf_holding.py ← 운용사 사이트 수집분,,"편입증권의 식별 코드. 국내 종목은 6자리 ticker, 그 외는 원천 표기(ISIN·Bloomberg 티커)를 그대로 쓴다. **KR7로 시작하는 국내 ISIN은 ticker6(KR7247540008 → 247540)로 접어 같은 증권을 한 노드로 합친다** — 접지 않으면 같은 종목이 운용사별로 다른 노드가 되어 '이 종목을 담은 ETF' 질의가 누락된다."
soldByFirm,http://mafest.ai/product#soldByFirm,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#boolean,sold by firm|당사 취급 여부,PRFD01N001,thco_sale_yn,,,,당사 판매 취급 여부. **'N' 값이 존재하지 않고 Y와 결측만 있으므로 결측(4.2%)을 '미취급'으로 해석**한다. 이상값 1건은 파싱 붕괴 행이다.
sourceId,http://mafest.ai/product#sourceId,DP,graph,loaded,n327921788c8b4f9196f55c429df2d4b2b48,http://www.w3.org/2001/XMLSchema#string,source id|출처 식별자,derived:relations,derived:relations.source,planned,"generic 관계 유효기간 계층, 미구현",,"관계·수치의 출처 표시(RDB=주최측 값, LSEG 등=외부 보완). 관계 테이블의 source 컬럼을 그대로 승계한다."
standardItemCode,http://mafest.ai/product#standardItemCode,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#string,standard item code|표준종목번호,PRFD01N001,std_itm_no,,,,보조 식별자. **'KR5…'와 'K55…' 두 형식이 혼재**하고 펀드 단위 중복 11건·결측 66행이 있어 정본 식별자로 쓰지 않는다(정본은 fp:productCode = itm_no).
strategyText,http://mafest.ai/product#strategyText,DP,vector,pending-embedding,ETF,http://www.w3.org/2001/XMLSchema#string,strategy text|투자전략 원문,PREF02N001,cu_strtegy,,,,"**enum이 아니라 평균 309자의 서술형 투자전략 문단**이다(고유 5,566종, 결측 0.1%). 국내ETF의 동명 컬럼(4값 코드)과 이름만 같고 성격이 완전히 다르므로 정형 필터로 쓸 수 없고 벡터 인덱싱해 RAG 근거 텍스트로 소비한다. 4개 도메인 통틀어 테마·전략 질의의 가장 풍부한 근거 자산이다."
subsidiaryCompany,http://mafest.ai/product#subsidiaryCompany,OP,graph,loaded,SubsidiaryRelation,Company,subsidiary company|피출자 기업,,,,,,출자관계 노드 → 피출자(자회사) 기업. fp:hasSubsidiary·fp:ownershipPct·fp:asOf와 함께 하나의 출자 사실을 구성한다.
subsidiaryOf,http://mafest.ai/product#subsidiaryOf,OP,none,unavailable,Company,Company,subsidiary of|자회사 관계,,,,,,"자회사 → 모회사. 지배구조 데이터(DART) 미수집으로 인스턴스 없음. 손자회사까지 추적하려면 다단계 탐색으로 처리하며, 전이성(owl:TransitiveProperty)은 지분율 기준이 관계마다 달라 선언하지 않는다."
supportedBy,http://mafest.ai/product#supportedBy,OP,vector,pending-collection,n327921788c8b4f9196f55c429df2d4b2b22,Document,supported by|근거문서,,,,,,관계·주장 → 이를 지지하는 문서. 근거가 없는 관계는 답변에 포함하지 않는다. 문서에 함께 언급되었다는 사실만으로 편입·모자회사·테마 관계를 확정하지 않는다.
themeName,http://mafest.ai/product#themeName,DP,rdb,derived-not-deployed,Theme,http://www.w3.org/2001/XMLSchema#string,theme name|테마명,derived:etf_theme,derived:etf_theme.theme,pure,build_etf_enrichment.py:40 ← data/csv 원본만,,테마 명칭. 원천 표기를 그대로 쓴다('우주항공/방산'처럼 슬래시 결합 테마가 있어 '우주'·'항공' 분리 검색은 성립하지 않는다).
ticker,http://mafest.ai/product#ticker,DP,graph,loaded,n6d8cda17fbb740fcbe8ead3b4f379c40b10,http://www.w3.org/2001/XMLSchema#string,ticker|티커,PREF02N001,pd_abrv_nm,,,,"미국 상장 티커(VOO·SPY·BND 등). **자연어 질의가 해외ETF를 지목하는 1순위 표현**이며 정규 컬럼은 pd_abrv_nm이다. pd_itm_no에는 거래소 접미(.O = 나스닥, 4,972건)가 붙을 수 있어 티커 매칭에 그대로 쓰면 안 된다. pd_abrv_nm에도 중복 5건이 있어 단독 URI로는 부적합하다."
tracksIndex,http://mafest.ai/product#tracksIndex,OP,rdb,raw,n327921788c8b4f9196f55c429df2d4b2b8,Index,tracks index|기초지수 추종,PREF01N001|PREF02N001|PRFD01N001,bmrk_nm|cu_base_index,,,,"ETF·ETN → 기초지수, 펀드 → 벤치마크. 국내ETF는 cu_base_index가 95.2% 결측이라 사실상 공급이 끊겨 있고, 공모펀드 bmrk_nm(391종, 결측 0%)이 실질 주 공급원이다. 복합 벤치마크('MSCI ACWI CR 50% + 종합채권01Y 50%')는 지수 여러 개로 분해해 다중 연결한다. 지수명 별칭은 skos:altLabel로 묶는다."
tradingSuspended,http://mafest.ai/product#tradingSuspended,DP,rdb,raw,n262162eb5eeb41f2ba948dd5d654e824b22,http://www.w3.org/2001/XMLSchema#boolean,trading suspended|거래정지 여부,PREF01N001,pd_tr_yn,,,해외ETF는 전량 0이라 이 축이 없다.,1=정지(72건). 매수 가능 상품 조건검색에서 제외 필터로 쓴다. 해외ETF는 전량 0이라 이 축이 없다.
validFrom,http://mafest.ai/product#validFrom,DP,rdb,derived-not-deployed,n327921788c8b4f9196f55c429df2d4b2b42,http://www.w3.org/2001/XMLSchema#date,valid from|유효 시작일,derived:relations,derived:relations.valid_from,planned,"generic 관계 유효기간 계층, 미구현",,관계·수치가 유효해지는 시점. 기간 필터 질의('2026년 상반기에 새로 편입된')에 필요하다.
validTo,http://mafest.ai/product#validTo,DP,rdb,derived-not-deployed,n327921788c8b4f9196f55c429df2d4b2b45,http://www.w3.org/2001/XMLSchema#date,valid to|유효 종료일,derived:relations,derived:relations.valid_to,planned,"generic 관계 유효기간 계층, 미구현",,관계·수치가 만료되는 시점. 값이 없으면 현재 유효로 해석한다.
weight,http://mafest.ai/product#weight,DP,graph,loaded,Holding,http://www.w3.org/2001/XMLSchema#decimal,weight|편입비중,derived:etf_holding,derived:etf_holding.weight,external,build_etf_holding.py ← 운용사 사이트 수집분,,편입관계의 비중(%). 반드시 fp:asOf 기준일과 함께 제시한다. 현재 편입 데이터가 0건이라 값 없음.
