id,type,evaluation_type,answerability,product_category,difficulty,question,required_evidence,expected_behavior,data_status,golden_answer,evidence,external_needed,note_vs_0711
21,관계검색_상품동일성,PASS_OR_FAIL,답변가능,국내ETF·공모펀드,중,"KODEX200이 국내 ETF 데이터와 공모펀드 데이터에 모두 나타나는 이유를 설명해줘. 동일 운용상품, 상장 클래스, 별도 상품 중 무엇인지 상품번호·대표종목번호·상장 여부 관계를 근거로 판정해줘.",상품번호; 대표종목번호; 상장 여부; SAME_VEHICLE_AS 또는 HAS_SHARE_CLASS 관계,ANSWER,산출가능,"판정: 동일 운용상품(SAME_VEHICLE_AS). ETF 마스터의 KR7069500007와 공모펀드 마스터의 KR5114601001 가 `fund.ksd_itm_no == etf.pd_itm_no`로 결정적으로 연결된다(매칭 1건). ETF는 '상장된 집합투자기구'이므로 펀드 마스터에 원본 신탁이, ETF 마스터에 상장 클래스가 각각 적재된 것이다. 전체적으로 이 방식으로 연결되는 상품은 217종.",fund.ksd_itm_no ↔ etf_kr.pd_itm_no 조인(217종) / fund.rptt_ksd_itm_no / etf_kr.pd_lstg_dt,,★ 07-11에는 47종이었으나 08-24에서 217종으로 4.6배 증가. 순자산은 07-11에 47/47 일치했으나 08-24는 0/217 — 펀드측 fd_nast_suma가 비어 ETF측을 정본으로 써야 함
22,관계검색_기업ETF편입,PASS_OR_FAIL,답변가능,국내ETF·해외ETF,상,"캠브리콘이 실제 편입된 중국 반도체 ETF를 찾아줘. ETF→편입증권→기업 경로를 사용하고, ETF명·티커·편입비중·편입기준일·편입내역 문서명과 근거 문장을 제시해줘.",기업 식별자; ETF→편입증권→기업 경로; 비중·기준일; 편입내역 문서명·인용문,ANSWER,외부데이터필요,"주최측 데이터에는 4개 도메인 어디에도 보유종목(holdings) 컬럼이 없다. 주최측 안내상 섹터-상품·구성종목-상품 지식 구축은 참가자 자율이므로 **ABSTAIN이 아니라 외부 데이터로 채워야 하는 문항**이다. 캠브리콘/Cambricon은 4개 도메인 상품명·176테마 전수 검색 0건이므로 '상품명 매칭'으로는 답할 수 없고, 편입내역을 확보해야만 답이 나온다. 중국 관련 국내ETF 후보는 명칭 기준 56종.",etf_kr/etf_gl/fund/bond 상품명 + theme_list(176) 전수 검색 = 0건,국내ETF PDF(운용사 공시) / 해외ETF SEC N-PORT(pd_us_cik 389개 → 시리즈ID 추가 필요) + 종목↔국가·섹터 매핑. 조인키: pd_itm_no·pd_isin_cd·pd_ticker(08-24 신설),
23,시그널검색_기간테마연결,PASS_OR_FAIL,답변가능,ETF,상,"최근 6개월 동안 우주항공 테마와 연결된 이력이 있는 ETF를 정리해줘. 현재 편입 관계와 단순 뉴스 언급을 구분하고, ETF→편입기업→산업/테마→근거문서 경로, 사건일, 문서명과 인용 근거를 제시해줘.",6개월 기준구간; 편입 관계와 언급 구분; 그래프 경로; 사건일; 문서명·인용문,ANSWER,부분산출,"LSEG themes로 '우주항공/방산' 태그 ETF 15종 식별 가능(예: KoAct 팔란티어밸류체인액티브, KODEX 방산TOP10레버리지, TIGER K방산&우주, TIME 글로벌우주테크&방산액티브, SOL K방산). 그러나 문항이 요구하는 '최근 6개월 연결 이력'은 시점 축이 필요한데 LSEG 메타에는 날짜 필드가 없다(themes·ter·replication·base_market·base_asset·hedge_type뿐).",LSEG themes(커버율 89.0%) / etf_kr.cu_upt_dt=20260824,테마 부여 시점 이력(스냅샷 시계열) 또는 뉴스·공시 이벤트 일자. '현재 편입 관계'와 '단순 뉴스 언급' 구분에는 편입내역도 필요,"현재 시점 테마 목록은 답 가능, '6개월 이력'은 불가 → 답변에서 두 층을 구분해 제시"
24,관계검색_자회사ETF위험,PASS_OR_FAIL,답변가능,국내ETF,상,"에코프로의 자회사를 편입한 ETF를 찾고 그중 최신 AUM이 가장 큰 상품의 위험요인을 알려줘. 에코프로→자회사→편입종목→ETF 관계 근거, 편입비중·기준일, AUM 기준일과 위험요인 문서의 인용문을 제시해줘.",모자회사 공식 근거; 편입내역·비중·기준일; AUM 기준일; 위험문서명·인용문,ANSWER,외부데이터필요,주최측 데이터에는 4개 도메인 어디에도 보유종목(holdings) 컬럼이 없다. 주최측 안내상 섹터-상품·구성종목-상품 지식 구축은 참가자 자율이므로 **ABSTAIN이 아니라 외부 데이터로 채워야 하는 문항**이다. 에코프로는 상품명 전수 검색상 채권에만 6건 존재하고 ETF/펀드 상품명에는 0건이다. '자회사' 관계도 주최측 데이터에 없다.,bond.pd_nm '에코프로' 6건 / etf_kr·etf_gl·fund 상품명 0건,① 지배구조(DART 기업개황·지분관계) ② ETF 편입내역 ③ 위험요인 텍스트(투자설명서). AUM·기준일은 주최측 etf_kr.pd_net_tamt(as_of 20260821)로 충당 가능,
25,관계검색_정책펀드구조동향,PASS_OR_FAIL,답변가능,공모펀드,상,"국민성장펀드의 구조, 운용주체, 자금조달 방식과 최근 투자전략 동향을 정리해줘. 공식 정책자료·운용자료만 사용하고 문서명, 발표기관, 발행일과 각 주장에 대응하는 근거 문장을 붙여줘.",공식 문서명; 발표기관; 발행일; 구조·운용·조달·전략 주장별 인용문,ANSWER,부분산출,"'국민성장' 명칭 매칭 4건 — 미래에셋국민참여형국민성장혼합자산투자신탁(사모투자재간접형) 종류C1-e (서민형)(유형 혼합자산, 벤치마크 KOSPI200 50% + 종합채권01Y 50%, 순자산 184억원); 미래에셋국민참여형국민성장혼합자산투자신탁(사모투자재간접형) 종류C-e (일반형)(유형 혼합자산, 벤치마크 KOSPI200 50% + 종합채권01Y 50%, 순자산 618억원); 미래에셋국민참여형국민성장혼합자산투자신탁(사모투자재간접형) 종류C (일반형)(유형 혼합자산, 벤치마크 KOSPI200 50% + 종합채권01Y 50%, 순자산 719억원); 미래에셋국민참여형국민성장혼합자산투자신탁(사모투자재간접형) 종류C1 (서민형)(유형 혼합자산, 벤치마크 KOSPI200 50% + 종합채권01Y 50%, 순자산 471억원). 구조·유형·벤치마크·순자산까지는 산출되나 '운용주체·자금조달 방식·투자전략 동향'은 서술형 텍스트라 원천에 없다.",fund.itm_nm·or_attr_desc·bmrk_nm·fd_nast_suma·prvo_pbff_desc / as_of=20260821,공식 정책자료·운용보고서(발표기관·발행일 포함). 주최측 안내상 2026-08-24까지 발행분 사용 가능,이 4건은 prvo_pbff_desc='사모'로 적재되어 있어 '공모펀드' 필터에 걸리면 사라진다 — 필터 설계 주의
26,관계검색_기업멀티상품노출,PASS_OR_FAIL,답변가능,채권·국내ETF·공모펀드,상,SK하이닉스가 발행한 매수 가능 채권과 SK하이닉스를 편입한 ETF·공모펀드를 연결해 알려줘. 발행사→채권과 기업→편입증권→상품 경로를 구분하고 등급·수익률·편입비중·AUM의 기준일과 근거를 제시해줘.,발행사→채권 경로; 기업→편입증권→상품 경로; 등급·수익률·비중·AUM 기준일,ANSWER,부분산출,"발행사→채권 경로는 산출 가능: '에스케이하이닉스(주)' 발행 채권 16종목 (구매가능 16종목). 등급 AA+ 16, (미평가) 1, 만기 20270214~20351110. 기업→편입증권→상품 경로는 편입내역 부재로 산출 불가.",bond.pd_nm·pd_pbcm='에스케이하이닉스(주)'·crd_grd·mat_dt·applied_yield / info_base_dt=20260821,ETF·펀드 편입내역(삼성전자·SK하이닉스 등 대형주는 대부분 ETF에 편입되어 있으므로 커버리지 영향 큼),★ 엔티티 표기 함정: 'SK하이닉스'로 검색하면 0건. 데이터 표기는 '에스케이하이닉스'(상품명)·'에스케이하이닉스(주)'(발행사) — 정규화 사전 필수
27,관계검색_기업자회사멀티상품,PASS_OR_FAIL,답변가능,채권·ETF,상,"LG에너지솔루션 및 확인된 자회사가 발행한 채권과 이 기업들을 편입한 ETF를 찾아줘. 모자회사 관계의 공식 근거, 채권 신용등급·만기, ETF 편입비중을 제시하고 배터리산업 위험요인은 근거 문서별로 구분해줘.",모자회사 공식 근거; 채권 등급·만기; ETF 비중·기준일; 위험문서명·인용문,ANSWER,부분산출,"'(주)엘지에너지솔루션' 발행 채권 12종목(상품명은 'LG에너지솔루션…'). LG에너지솔루션3-4(녹)(AA0, 만기 20310216); LG에너지솔루션5-3 (녹)(AA0, 만기 20310305); LG에너지솔루션4-2(AA0, 만기 20280214); LG에너지솔루션3-3(녹)(AA0, 만기 20290216); LG에너지솔루션2-3(녹)(AA0, 만기 20280629). 자회사 관계·ETF 편입비중·배터리 위험요인 문서는 원천에 없다.",bond.pd_pbcm·pd_nm·crd_grd·mat_dt / info_base_dt=20260821,① 모자회사 공식 근거(DART) ② ETF 편입내역·비중 ③ 위험요인 문서,"★ 표기 함정 2종 동시 발생: 상품명은 영문 'LG', 발행사는 한글 '엘지'. '엘지에너지솔루션'으로 상품명 검색 시 0건"
28,관계검색_기업전략위험,PASS_OR_FAIL,답변가능,국내ETF·해외ETF,상,"엔비디아를 편입한 국내 ETF와 해외 ETF 중 순자산이 큰 상품을 비교하고, 일반 지수형과 커버드콜형의 위험 차이를 설명해줘. 편입내역 기준일, 비중, AUM, 전략 원문 및 위험 설명의 문서 근거를 제시해줘.",편입내역·비중·기준일; AUM 기준일; 전략 원문; 유형별 위험문서명·인용문,ANSWER,외부데이터필요,"주최측 데이터에는 4개 도메인 어디에도 보유종목(holdings) 컬럼이 없다. 주최측 안내상 섹터-상품·구성종목-상품 지식 구축은 참가자 자율이므로 **ABSTAIN이 아니라 외부 데이터로 채워야 하는 문항**이다. 상품명에 '엔비디아' 포함 국내ETF 6종은 찾을 수 있으나(1Q 엔비디아알파벳미국채혼합50, TIGER 엔비디아미국채커버드콜밸런스(합성), RISE 엔비디아고정테크100, ACE 엔비디아밸류체인액티브, KIWOOM 엔비디아미국30년국채혼합액티브(H)), 이는 '엔비디아를 편입한' 상품이 아니라 '이름에 엔비디아가 든' 상품이다. 혼동하면 오답. 커버드콜형은 상품명 '커버드콜' 토큰으로 62종 식별 가능.",etf_kr.pd_abrv_nm·pd_net_tamt·cu_strtegy / etf_gl.cu_strtegy(전략 원문),편입내역·비중 + 유형별 위험 설명 문서. AUM·전략 원문은 주최측 데이터로 충당,
29,관계검색_지수편입중복위험,PASS_OR_FAIL,답변가능,해외ETF,상,"VOO, IVV, SPY가 같은 S&P 500 계열 지수를 추종하는지 확인하고 편입종목 중복률과 상위 기업 집중위험을 비교해줘. 기초지수, 편입기준일, 종목별 비중, 보수, AUM과 운용문서 근거를 제시해줘.",기초지수; 편입종목·비중·기준일; 중복률 계산식; 보수; AUM; 위험문서,ANSWER,부분산출,"기초지수·보수·AUM 비교는 산출 가능: IVV(S&P 500 TR, 보수 0.03%, AUM 889.4십억USD); SPY(S&P 500 TR, 보수 0.0492%, AUM 820.1십억USD); VOO(S&P 500 TR, 보수 0.02%, AUM 997.4십억USD). 세 상품이 같은 S&P 500 계열을 추종하는지는 지수명으로 판정 가능. 편입종목 중복률·상위 기업 집중위험은 편입내역이 없어 산출 불가.",etf_gl.cu_base_index·cu_charge_rt·du_last_aum·pd_isin_cd / as_of=20260821,SEC N-PORT 또는 운용사 공시 편입내역(3종 모두 미국 상장 → pd_us_cik 활용). 중복률 계산식은 구성종목 확보 후,
30,관계검색_펀드ETF중복노출,PASS_OR_FAIL,답변가능,국내ETF·공모펀드,상,"우리반도체BIG2플러스 펀드와 국내 반도체 ETF의 실제 편입종목 중복도를 계산하고 중복 노출이 큰 기업의 자회사·산업 위험을 알려줘. 클래스 중복은 제거하고 편입기준일, 중복도 계산식, 기업관계 및 위험문서 근거를 제시해줘.",클래스 중복 제거 근거; 편입내역·기준일; 중복도 계산식; 기업관계; 위험문서,ANSWER,외부데이터필요,"주최측 데이터에는 4개 도메인 어디에도 보유종목(holdings) 컬럼이 없다. 주최측 안내상 섹터-상품·구성종목-상품 지식 구축은 참가자 자율이므로 **ABSTAIN이 아니라 외부 데이터로 채워야 하는 문항**이다. 우리반도체BIG2플러스는 클래스 2종(C-P·C-Pe)이며 대표종목번호로 중복 제거하면 1모펀드다(Q10 참조). 클래스 중복 제거까지는 주최측 데이터로 되고, 편입종목 중복도는 외부 편입내역이 있어야 계산된다.",fund.rptt_ksd_itm_no(클래스 dedup) / etf_kr 반도체 ETF 후보 61종,펀드 자산운용보고서 편입내역 + ETF PDF 편입내역 + 기업 지배구조·위험문서,
31,답변불가_유효하지않은등급,PASS_OR_FAIL,답변불가능,채권,-,신용등급이 AAAA인 매수 가능 채권을 찾아 상품번호와 신용평가 근거를 제시해줘.,신용등급 온톨로지의 허용값과 질의값 검증 결과,ABSTAIN_INVALID_TAXONOMY,ABSTAIN,"ABSTAIN_INVALID_TAXONOMY. 신용등급 허용값 사전은 15종 [A+, A-, A0, AA+, AA-, AA0, AAA, B+, B-, BB-, BB0, BBB+, BBB-, BBB0, C0]이며 'AAAA'는 포함되지 않는다(매칭 0건). '존재하지 않는 등급'으로 답하고, 참고로 최상위 등급 AAA 구매가능 채권은 8,628종목임을 덧붙일 수 있다.",bond.crd_grd DISTINCT (온톨로지 CreditRatingGrade 허용값),,★ 07-11 20종 → 08-24 15종으로 사전이 축소됨. 사전을 하드코딩했다면 갱신 필요
32,답변불가_기준일이후출시,PASS_OR_FAIL,답변불가능,전체,-,"2026-08-24 기준으로 Kimi 관련 투자 상품을 찾아 해당 모델과 상품의 연결 근거 문서, 발표일과 편입비중을 알려줘.",모델 출시일; 데이터 기준일; 상품 연결 문서와 편입내역 존재 여부,ABSTAIN_NOT_RELEASED_AS_OF_CUTOFF,ABSTAIN,ABSTAIN_NOT_RELEASED_AS_OF_CUTOFF. 'Kimi' 전 도메인 상품명 + theme_list(176) 전수 검색 결과 국내ETF 0 / 해외ETF 0 / 공모펀드 0 / 채권 0 / 테마 0건. 연결 근거 문서·편입내역도 없다. 데이터 기준일 2026-08-24(실질 08-21~08-24) 시점에도 해당 모델과 연결된 투자상품이 존재하지 않음을 전수 검색 결과로 증명해 답한다.,4도메인 pd_nm/itm_nm + theme_list 전수 검색 = 0/0/0/0/0 / 기준일 info_base_dt=20260821·cu_upt_dt=20260824,,문항 기준일을 07-11 → 08-24로 갱신함(주최측 안내에 맞춤). 기준일이 뒤로 밀려도 부재 판정은 그대로다
33,답변불가_존재하지않는상품,PASS_OR_FAIL,답변불가능,ETF,-,KODEX AI로봇 ETF의 수익률과 편입종목을 공식 문서 근거로 알려줘.,정확한 상품명·상품번호 존재 여부; 공식 상품 문서 존재 여부,ABSTAIN_ENTITY_NOT_FOUND,ABSTAIN,"ABSTAIN_ENTITY_NOT_FOUND. 'KODEX AI로봇' 정확 명칭 매칭 0건. 단 브랜드 'KODEX'는 실재하며 ETF 243종이 있다 → '브랜드는 존재하나 해당 상품은 없음'으로 분해 판정하고, 같은 브랜드의 로봇·AI 관련 대안 18종을 제시한다(예: KODEX 미국AI광통신네트워크, KODEX 미국AI소프트웨어TOP10, KODEX 차이나휴머노이드로봇, KODEX 코리아소버린AI).",etf_kr.pd_abrv_nm 정확일치 0건 / 브랜드 접두 토큰 사전,,07-11 KODEX 240종 → 08-24 243종. 대안 후보도 18종으로 유지
34,답변불가_미래실현값,PASS_OR_FAIL,답변불가능,국내ETF,-,TIGER 미국S&P500의 2027년 확정 연간수익률을 데이터 근거와 함께 알려줘.,요청기간과 최신 데이터 기준일 비교,ABSTAIN_FUTURE_DATA,ABSTAIN,"ABSTAIN_FUTURE_DATA. 요청 기간(2027년 확정 연간수익률)이 데이터 기준일(2026-08-21) 이후다. 보유 수익률은 최장 1년(18.42%, as_of 20260821)이며 미래 실현값은 존재할 수 없다. 대신 제공 가능한 것: 1D/1M/3M/6M/YTD/1Y 실적 수익률과 변동성(du_vlty_1y).",etf_kr.du_er_* 최장 1년 / du_upt_dt=20260821,,du_vlty_* 5종이 08-24에 신설되어 '대안 제시' 폭이 넓어짐
35,답변불가_온톨로지도메인오류,PASS_OR_FAIL,답변불가능,해외ETF·채권,-,VOO가 직접 발행한 회사채의 신용등급과 만기일을 알려줘.,VOO의 엔티티 유형과 ISSUED_BY 관계의 도메인·레인지 검증,ABSTAIN_DOMAIN_MISMATCH,ABSTAIN,"ABSTAIN_DOMAIN_MISMATCH. VOO는 fp:ETF 인스턴스이고 fp:issuedBy의 domain은 fp:Bond 단독이므로 'VOO가 발행한 회사채'는 도메인 위반이다. 데이터상으로도 VOO(etf_gl)는 채권 마스터에 존재하지 않고, 채권 발행사(pd_pbcm) 1,818종에 VOO/Vanguard는 없다. ETF는 채권 발행 주체가 아니라 채권을 편입할 수 있는 상품임을 설명한다.","ontology fp:issuedBy domain=fp:Bond / etf_gl.pd_itm_no='VOO' / bond.pd_pbcm DISTINCT 1,818종에 부재",,
